Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity
Q93091,Ribonuclease K6,RNASE6,2,12.7,17.196,150,0,3.0701,109690000
Q969E1,Liver-expressed antimicrobial peptide 2,LEAP2,4,36.4,8.8135,77,0,62.094,1278500000
Q969H8,Myeloid-derived growth factor,MYDGF,4,27.2,18.795,173,0,18.289,417540000
Q96C23,Aldose 1-epimerase,GALM,3,13.7,37.765,342,0,7.8809,25651000
Q96C86,m7GpppX diphosphatase,DCPS,2,5.9,38.608,337,0,40.99,28722000
Q96CG8,Collagen triple helix repeat-containing protein 1,CTHRC1,2,7,24.77,229,0.0023881,1.8836,81689000
Q96CN7,Isochorismatase domain-containing protein 1,ISOC1,6,24.5,32.236,298,0,82.682,200750000
Q96CX2,BTB/POZ domain-containing protein KCTD12,KCTD12,14,52,35.7,325,0,63.84,555430000
Q96DA0,Zymogen granule protein 16 homolog B,ZG16B,3,21.6,22.739,208,0,19.096,70663000
Q96DN2,von Willebrand factor C and EGF domain-containing protein,VWCE,2,2,99.914,955,0,3.4235,17507000
Q96FE7,Phosphoinositide-3-kinase-interacting protein 1,PIK3IP1,3,27.7,18.491,173,0,4.6646,177930000
Q96G03,Phosphoglucomutase-2,PGM2,4,8.7,68.283,612,0,40.085,38914000
Q96GP6,Scavenger receptor class F member 2,SCARF2,3,5.2,91.815,865,0,13.196,39501000
Q96GW7,Brevican core protein,BCAN,2,2.1,99.117,911,0.0090447,1.2981,7374300
Q96H15,T-cell immunoglobulin and mucin domain-containing protein 4,TIMD4,4,13.7,38.536,350,0,55.649,836720000
Q96HD1,Cysteine-rich with EGF-like domain protein 1,CRELD1,16,49.8,45.941,422,0,186.64,2326300000
Q96IY4,Carboxypeptidase B2,CPB2,21,55.8,48.424,423,0,323.31,1.0926E+11
Q96J42,Thioredoxin domain-containing protein 15,TXNDC15,2,10.2,38.066,343,0,8.9799,13423000
Q96KG7,Multiple epidermal growth factor-like domains protein 10,MEGF10,18,21.1,122.2,1140,0,259.02,1537800000
Q96KN2,Beta-Ala-His dipeptidase,CNDP1,27,58,56.705,507,0,323.31,25172000000
Q96L35,Receptor protein-tyrosine kinase;Ephrin type-B receptor 4,EPHB4,6,9.7,102.56,935,0,14.316,146880000
Q96MK3,Protein FAM20A,FAM20A,6,18.9,61.416,541,0,12.291,81100000
Q96N76,Urocanate hydratase,UROC1,2,6.1,74.83,676,0,59.136,35299000
Q96PD2,"Discoidin, CUB and LCCL domain-containing protein 2",DCBLD2,8,10.5,85.034,775,0,48.208,339930000
Q96PD5,N-acetylmuramoyl-L-alanine amidase,PGLYRP2,25,65.6,62.216,576,0,323.31,3.0397E+11
Q96RD9,Fc receptor-like protein 5,FCRL5,21,34.1,83.292,759,0,305.76,2666400000
Q96RW7,Hemicentin-1,HMCN1,6,1.3,600.09,5518,0,18.776,21687000
Q96S96,Phosphatidylethanolamine-binding protein 4,PEBP4,11,57.3,25.733,227,0,226.37,7126900000
Q96TA1,Niban-like protein 1,FAM129B,6,8.7,82.682,733,0,6.3869,110320000
Q99436,Proteasome subunit beta type-7,PSMB7,5,28.2,29.965,277,0,37.174,236220000
Q99466,Neurogenic locus notch homolog protein 4;Notch 4 extracellular truncation;Notch 4 intracellular domain,NOTCH4,3,1.5,209.62,2003,0,4.3842,64115000
Q99497,Protein deglycase DJ-1,PARK7,8,60.3,19.891,189,0,121.41,1045000000
Q99538,Legumain,LGMN,5,15.9,49.411,433,0,85.569,140660000
Q99574,Neuroserpin,SERPINI1,4,12.4,46.426,410,0,12.111,94957000
Q99650,Oncostatin-M-specific receptor subunit beta,OSMR,10,11.3,110.51,979,0,174.11,1469100000
Q99674,Cell growth regulator with EF hand domain protein 1,CGREF1,3,16.9,31.905,301,0,28.913,66548000
Q99784,Noelin,OLFM1,15,32.4,55.342,485,0,121.96,9637000000
Q99941,Cyclic AMP-dependent transcription factor ATF-6 beta;Processed cyclic AMP-dependent transcription factor ATF-6 beta,ATF6B,5,7.9,76.411,700,0,36.185,592210000
Q99952,Tyrosine-protein phosphatase non-receptor type 18,PTPN18,2,6.2,38.475,353,0,2.387,22117000
Q99969,Retinoic acid receptor responder protein 2,RARRES2,6,43.6,18.617,163,0,140.76,7463800000
Q99972,"Myocilin;Myocilin, N-terminal fragment;Myocilin, C-terminal fragment",MYOC,18,37.7,56.971,504,0,255.69,2855300000
Q99983,Osteomodulin,OMD,4,9.5,49.492,421,0,48.174,1415800000
Q9BQ51,Programmed cell death 1 ligand 2,PDCD1LG2,4,19.8,30.957,273,0,9.7253,828460000
Q9BQS7,Hephaestin,HEPH,9,9.3,130.38,1157,0,14.185,142660000
Q9BR76,Coronin-1B;Coronin,CORO1B,3,5.5,54.234,489,0.00061501,2.1967,52583000
Q9BRK3,Matrix-remodeling-associated protein 8,MXRA8,6,12.9,47.971,433,0,6.0264,94474000
Q9BS26,Endoplasmic reticulum resident protein 44,ERP44,9,27.8,46.971,406,0,42.367,195710000
Q9BT09,Protein canopy homolog 3,CNPY3,2,10.1,30.748,278,0,24.542,45783000
Q9BT56,Spexin;Spexin-1;Spexin-2,SPX,2,17.2,13.302,116,0.0079954,1.4052,13421000
Q9BTY2,Plasma alpha-L-fucosidase,FUCA2,23,41.3,54.066,467,0,261.93,14544000000
Q9BUD6,Spondin-2,SPON2,5,17.5,35.846,331,0,3.8188,90626000
Q9BUN1,Protein MENT,MENT,3,9.7,36.769,341,0,98.884,197380000
Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",ACAT2,2,9.6,41.35,397,0,14.335,18948000
Q9BWP8,Collectin-11,COLEC11,6,33.5,21.589,197,0,80.478,2012900000
Q9BWS9,Chitinase domain-containing protein 1,CHID1,7,19.9,41.677,362,0,27.278,139190000
Q9BWV1,Brother of CDO,BOC,5,8,121.06,1114,0,208.52,269610000
Q9BXJ0,Complement C1q tumor necrosis factor-related protein 5,C1QTNF5,2,9.9,25.298,243,0,7.4846,65656000
Q9BXJ4,Complement C1q tumor necrosis factor-related protein 3,C1QTNF3;C1QTNF3-AMACR,5,24.5,35.183,319,0,52.505,1168600000
Q9BXX0,EMILIN-2,EMILIN2,2,2.9,115.69,1053,0,9.8505,53437000
Q9BY67,Cell adhesion molecule 1,CADM1,10,42,45.623,414,0,311.51,4233100000
Q9BYE9,Cadherin-related family member 2,CDHR2,7,6.6,141.54,1310,0,97.72,126710000
Q9BZR6,Reticulon-4 receptor,RTN4R,11,30.9,50.707,473,0,114.02,207460000
Q9C0C4,Semaphorin-4C,SEMA4C,5,8.2,92.622,833,0,14.059,99032000
Q9GZM7,Tubulointerstitial nephritis antigen-like,TINAGL1,2,6,48.807,436,0.002401,1.9453,7259500
Q9GZT8,NIF3-like protein 1,NIF3L1,6,18.3,38.983,350,0,12.092,283830000
Q9GZX9,Twisted gastrulation protein homolog 1,TWSG1,4,24.2,25.017,223,0,27.516,206870000
Q9H098,Protein FAM107B,FAM107B,2,14.5,15.558,131,0.0046512,1.6303,9483400
Q9H0R4,Haloacid dehalogenase-like hydrolase domain-containing protein 2,HDHD2,2,12.4,18.533,169,0,16.241,6571700
Q9H0X4,Protein ITFG3,ITFG3,6,14.1,59.659,552,0,13.512,184490000
Q9H173,Nucleotide exchange factor SIL1,SIL1,7,19.1,52.084,461,0,53.237,154670000
Q9H1B5,Xylosyltransferase 2,XYLT2,7,10.5,96.766,865,0,20.763,140190000
Q9H1U4,Multiple epidermal growth factor-like domains protein 9,MEGF9,7,14.6,62.983,602,0,73.424,638400000
Q9H251,Cadherin-23,CDH23,3,1.1,365.54,3319,0,5.352,12174000
Q9H299,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3,7,83.9,10.438,93,0,137.91,3820700000
Q9H2E6,Semaphorin-6A,SEMA6A,4,4.4,114.39,1030,0.004108,1.7276,97033000
Q9H3G5,Probable serine carboxypeptidase CPVL,CPVL,3,6.7,54.163,476,0,3.3879,30551000
Q9H3T2,Semaphorin-6C,SEMA6C,3,4.2,98.467,922,0,7.3617,36022000
Q9H4A4,Aminopeptidase B,RNPEP,15,25.2,72.595,650,0,142.06,272140000
Q9H4A9,Dipeptidase 2;Dipeptidase,DPEP2,15,34.4,53.305,486,0,284.81,1808400000
Q9H4X1,Regulator of cell cycle RGCC,RGCC,4,42.7,12.924,117,0,25.962,90066000
Q9H6X2,Anthrax toxin receptor 1,ANTXR1,6,29.3,33.279,297,0,137.43,446970000
Q9H756,Leucine-rich repeat-containing protein 19,LRRC19,3,10,42.334,370,0,7.8898,141820000
Q9H7Y0,Deleted in autism-related protein 1,CXorf36,4,12.9,48.554,433,0,17.915,51242000
Q9H8J5,MANSC domain-containing protein 1,MANSC1,5,18.3,46.81,431,0,37.943,319220000
Q9H8L6,Multimerin-2,MMRN2,7,9.6,104.41,949,0,176.5,2660200000
Q9H8S9,MOB kinase activator 1A;MOB kinase activator 1B,MOB1A;MOB1B,2,8.3,25.079,216,0.0012203,2.1344,26365000
Q9H993,Protein-glutamate O-methyltransferase,ARMT1,2,5.2,51.172,441,0,36.713,51780000
Q9H9K5,Endogenous retrovirus group MER34 member 1 Env polyprotein,ERVMER34-1,3,5.5,63.546,563,0,7.5546,46677000
Q9HAT2,Sialate O-acetylesterase,SIAE,8,16.4,58.314,523,0,13.261,176210000
Q9HBB8,Cadherin-related family member 5,CDHR5,10,19.5,69.626,651,0,190.19,973510000
Q9HBI1,Beta-parvin,PARVB,9,31.5,37.538,327,0,193.2,1488600000
Q9HBR0,Putative sodium-coupled neutral amino acid transporter 10,SLC38A10,20,21.5,119.76,1119,0,128.83,1332300000
Q9HBW1,Leucine-rich repeat-containing protein 4,LRRC4,2,6.1,72.717,653,0,5.3011,47273000
Q9HBW9,"EGF, latrophilin and seven transmembrane domain-containing protein 1",ELTD1,7,13.9,77.81,690,0,46.268,497780000
Q9HC38,Glyoxalase domain-containing protein 4,GLOD4,11,32.9,33.232,298,0,23.831,438950000
Q9HC57,WAP four-disulfide core domain protein 1,WFDC1,3,12.7,23.976,220,0.0090498,1.2989,50344000
Q9HCB6,Spondin-1,SPON1,14,17.3,90.973,807,0,136.92,1133900000
Q9HCL0,Protocadherin-18,PCDH18,9,8.5,126.02,1134,0,42.848,598110000
Q9HCN6,Platelet glycoprotein VI,GP6,4,12.8,35.091,321,0,14.541,469130000
Q9HCU0,Endosialin,CD248,6,10.4,80.858,757,0,85.823,1680300000
Q9HD89,Resistin,RETN,2,17.6,11.419,108,0,3.2776,109700000
Q9HDC9,Adipocyte plasma membrane-associated protein,APMAP,16,38.2,46.48,416,0,73.933,1918200000
Q9NP84,Tumor necrosis factor receptor superfamily member 12A,TNFRSF12A,2,14,13.911,129,0,3.9284,101200000
Q9NPG4,Protocadherin-12,PCDH12,7,9.8,128.99,1184,0,51.886,223020000
Q9NPH3,Interleukin-1 receptor accessory protein,IL1RAP,22,57,41.018,356,0,159.78,16512000000
Q9NPY3,Complement component C1q receptor,CD93,13,26.8,68.559,652,0,323.31,5664200000
Q9NQ38,Serine protease inhibitor Kazal-type 5;Hemofiltrate peptide HF6478;Hemofiltrate peptide HF7665,SPINK5,41,37.8,124.08,1094,0,177.92,5039600000
Q9NQ76,Matrix extracellular phosphoglycoprotein,MEPE,6,9.9,58.418,525,0,38.56,803820000
Q9NQ79,Cartilage acidic protein 1,CRTAC1,25,51,71.42,661,0,323.31,5964100000
Q9NQR4,Omega-amidase NIT2,NIT2,2,10.5,30.608,276,0,3.8453,26683000
Q9NQW7,Xaa-Pro aminopeptidase 1,XPNPEP1,3,8.7,69.917,623,0,21.79,69559000
Q9NQZ7,Ectonucleoside triphosphate diphosphohydrolase 7,ENTPD7,2,5.6,68.959,604,0,3.5052,7313600
Q9NR34,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC;alpha-1,2-Mannosidase",MAN1C1,9,17.9,70.91,630,0,100.13,433330000
Q9NR71,Neutral ceramidase;Neutral ceramidase soluble form;Putative neutral ceramidase C,ASAH2;ASAH2C,7,16.4,81.717,745,0,25.807,230360000
Q9NR99,Matrix-remodeling-associated protein 5,MXRA5,7,3.1,312.15,2828,0,46.627,92098000
Q9NRB3,Carbohydrate sulfotransferase 12,CHST12,3,11.4,48.414,414,0,22.479,64655000
Q9NRN5,Olfactomedin-like protein 3,OLFML3,4,16.8,43.588,386,0,5.6837,108560000
Q9NS71,Gastrokine-1,GKN1,3,15.1,21.999,199,0,46.234,784610000
Q9NS98,Semaphorin-3G,SEMA3G,15,25.7,86.7,782,0,76.176,808710000
Q9NSC7,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",ST6GALNAC1,8,13.8,68.563,600,0,29.825,730940000
Q9NT22,EMILIN-3,EMILIN3,5,18.8,39.603,372,0,45.367,77880000
Q9NT99,Leucine-rich repeat-containing protein 4B,LRRC4B,9,15.7,76.433,713,0,27.197,158940000
Q9NTN9,Semaphorin-4G,SEMA4G,8,10.7,91.496,838,0,16.235,148610000
Q9NTU7,Cerebellin-4,CBLN4,5,24.4,21.808,201,0,50.748,1129600000
Q9NU53,Glycoprotein integral membrane protein 1,GINM1,2,5.8,36.84,330,0,4.7774,66925000
Q9NUQ9,Protein FAM49B,FAM49B,4,21.9,36.748,324,0,19.445,48323000
Q9NY15,Stabilin-1,STAB1,18,9.7,275.48,2570,0,105.15,1031300000
Q9NY97,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2",B3GNT2,13,34.9,45.484,393,0,136.52,4998500000
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,29,22.9,174.97,1531,0,323.31,1344500000
Q9NZ08,Endoplasmic reticulum aminopeptidase 1,ERAP1,38,44.7,107.23,941,0,229.1,5839300000
Q9NZD4,Alpha-hemoglobin-stabilizing protein,AHSP,4,32.4,11.84,102,0,7.3255,100180000
Q9NZP8,Complement C1r subcomponent-like protein,C1RL,16,42.1,53.498,487,0,323.31,99219000000
Q9NZT1,Calmodulin-like protein 5,CALML5,2,21.2,15.892,146,0,18.634,12733000
Q9NZU0,Leucine-rich repeat transmembrane protein FLRT3,FLRT3,6,9.9,73.003,649,0,17.888,52076000
Q9NZV1,Cysteine-rich motor neuron 1 protein;Processed cysteine-rich motor neuron 1 protein,CRIM1,2,2.4,113.74,1036,0.0024082,1.9633,16126000
Q9P1F3,Costars family protein ABRACL,ABRACL,2,45.7,9.0564,81,0,31.764,114030000
Q9P232,Contactin-3,CNTN3,27,33.6,112.88,1028,0,259.84,2257600000
Q9P2B2,Prostaglandin F2 receptor negative regulator,PTGFRN,3,3.3,98.555,879,0.0023866,1.8755,15687000
Q9UBG0,C-type mannose receptor 2,MRC2,31,28,166.67,1479,0,323.31,3029500000
Q9UBR2,Cathepsin Z,CTSZ,10,38.9,33.868,303,0,89.013,3141000000
Q9UBW5,Bridging integrator 2,BIN2,19,42.1,61.874,565,0,165.06,1004600000
Q9UBX1,Cathepsin F,CTSF,15,31.2,53.365,484,0,69.177,1830800000
Q9UEW3,Macrophage receptor MARCO,MARCO,4,10.9,43.865,442,0,92.109,379740000
Q9UFP1,Protein FAM198A,FAM198A,5,9.4,63.637,575,0,8.5852,84612000
Q9UGM5,Fetuin-B,FETUB,22,69.1,42.054,382,0,323.31,99522000000
Q9UGN4,CMRF35-like molecule 8,CD300A,2,10.4,33.2,299,0,22.801,168210000
Q9UGT4,Sushi domain-containing protein 2,SUSD2,8,17.9,90.207,822,0,133.56,395780000
Q9UHG2,ProSAAS;KEP;Big SAAS;Little SAAS;Big PEN-LEN;PEN;Little LEN;Big LEN,PCSK1N,2,11.2,27.372,260,0,4.6024,21702000
Q9UHG3,Prenylcysteine oxidase 1,PCYOX1,6,15.8,56.639,505,0,24.417,84988000
Q9UHL4,Dipeptidyl peptidase 2,DPP7,9,22.4,54.341,492,0,86.894,472240000
Q9UHV9,Prefoldin subunit 2,PFDN2,2,16.9,16.648,154,0,12.855,10048000
Q9UIB8,SLAM family member 5,CD84,3,21.6,26.902,241,0,35.976,241090000
Q9UIQ6,"Leucyl-cystinyl aminopeptidase;Leucyl-cystinyl aminopeptidase, pregnancy serum form",LNPEP,3,3.7,115.06,1006,0,8.7879,42916000
Q9UIW2,Plexin-A1,PLXNA1,9,5.9,211.06,1896,0,40.091,215100000
Q9UJ14,Gamma-glutamyltransferase 7;Gamma-glutamyltransferase 7 heavy chain;Gamma-glutamyltransferase 7 light chain,GGT7,5,8.2,70.466,662,0,11.079,208880000
Q9UJA9,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5,5,10.9,54.665,477,0,15.354,134450000
Q9UJC5,SH3 domain-binding glutamic acid-rich-like protein 2,SH3BGRL2,4,59.8,12.326,107,0,80.376,401640000
Q9UJJ9,N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG,9,36.4,33.973,305,0,201.58,6202900000
Q9UJU6,Drebrin-like protein,DBNL,3,9.5,37.1,327,0,4.1945,41838000
Q9UJW2,Tubulointerstitial nephritis antigen,TINAG,4,8,54.604,476,0,6.092,57625000
Q9UK05,Growth/differentiation factor 2,GDF2,3,10.3,47.32,429,0,30.043,61968000
Q9UK23,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,NAGPA,13,28,56.072,515,0,95.738,1090900000
Q9UKG1,DCC-interacting protein 13-alpha;DCC-interacting protein 13-beta,APPL1;APPL2,2,2.5,79.663,709,0.0046485,1.624,25899000
Q9UKU6,Thyrotropin-releasing hormone-degrading ectoenzyme,TRHDE,11,12.6,117,1024,0,20.093,177420000
Q9UKY7,Protein CDV3 homolog,CDV3,2,17.8,22.079,213,0,26.821,34501000
Q9UKZ9,Procollagen C-endopeptidase enhancer 2,PCOLCE2,2,7.5,45.716,415,0,4.2644,84995000
Q9UL46,Proteasome activator complex subunit 2,PSME2,4,24.3,27.401,239,0,46.218,53357000
Q9ULI3,Protein HEG homolog 1,HEG1,14,14.2,147.46,1381,0,105.46,4165700000
Q9ULV4,Coronin-1C;Coronin,CORO1C,15,29.5,53.248,474,0,26.124,754290000
Q9UM47,Neurogenic locus notch homolog protein 3;Notch 3 extracellular truncation;Notch 3 intracellular domain,NOTCH3,20,11.5,243.63,2321,0,113.42,981650000
Q9UMX5,Neudesin,NENF,5,38.4,18.856,172,0,89.196,714180000
Q9UN70,Protocadherin gamma-C3,PCDHGC3,4,6.4,94.457,863,0,9.1818,61706000
Q9UNF0,Protein kinase C and casein kinase substrate in neurons protein 2,PACSIN2,2,4.5,51.353,445,0,3.1266,32225000
Q9UNN8,Endothelial protein C receptor,PROCR,6,29.4,26.671,238,0,103.93,7642800000
Q9UNW1,Multiple inositol polyphosphate phosphatase 1,MINPP1,21,51.1,55.051,487,0,323.31,32057000000
Q9UNZ2,NSFL1 cofactor p47,NSFL1C,8,25.1,37.325,339,0,16.3,220010000
Q9UP79,A disintegrin and metalloproteinase with thrombospondin motifs 8,ADAMTS8,3,4.2,96.459,889,0,3.4311,45091000
Q9UPZ6,Thrombospondin type-1 domain-containing protein 7A,THSD7A,8,4.8,185.36,1657,0,9.3487,66721000
Q9UQ52,Contactin-6,CNTN6,5,6.7,113.95,1028,0,13.228,65470000
Q9UQ80,Proliferation-associated protein 2G4,PA2G4,7,28.4,43.786,394,0,61.171,109360000
Q9UQP3,Tenascin-N,TNN,15,15,144.03,1299,0,92.154,371290000
Q9Y274,"Type 2 lactosamine alpha-2,3-sialyltransferase",ST3GAL6,13,41.1,38.213,331,0,35.11,678680000
Q9Y275,"Tumor necrosis factor ligand superfamily member 13B;Tumor necrosis factor ligand superfamily member 13b, membrane form;Tumor necrosis factor ligand superfamily member 13b, soluble form",TNFSF13B,3,14.3,29.137,266,0,29.259,82104000
Q9Y279,V-set and immunoglobulin domain-containing protein 4,VSIG4,8,34.3,35.543,321,0,70.353,1387000000
Q9Y286,Sialic acid-binding Ig-like lectin 7,SIGLEC7,2,7.8,41.237,374,0,3.8301,20299000
Q9Y287,"Integral membrane protein 2B;BRI2, membrane form;BRI2 intracellular domain;BRI2C, soluble form;Bri23 peptide",ITM2B,7,31.6,30.338,266,0,75.891,154110000
Q9Y2B0,Protein canopy homolog 2,CNPY2,2,14.3,20.652,182,0,4.1494,28500000
Q9Y2Y8,Proteoglycan 3,PRG3,2,12.9,25.405,225,0,4.1737,13743000
Q9Y376,Calcium-binding protein 39,CAB39,4,11.1,39.869,341,0,4.8289,53308000
Q9Y490,Talin-1,TLN1,118,60.5,269.76,2541,0,323.31,18716000000
Q9Y4C0,Neurexin-3,NRXN3,4,4.2,153.88,1392,0,24.386,51561000
Q9Y4D7,Plexin-D1,PLXND1,12,10.6,195.56,1785,0,119.78,812950000
Q9Y4E8,Ubiquitin carboxyl-terminal hydrolase 15,USP15,4,14.5,27.093,235,0.0018138,2.0317,22974000
Q9Y4L1,Hypoxia up-regulated protein 1,HYOU1,28,34.4,111.33,999,0,323.31,9608600000
Q9Y5C1,Angiopoietin-related protein 3,ANGPTL3,20,51.5,53.637,460,0,323.31,6097600000
Q9Y5X9,Endothelial lipase,LIPG,2,7,56.794,500,0.00061275,2.1633,30964000
Q9Y5Y7,Lymphatic vessel endothelial hyaluronic acid receptor 1,LYVE1,8,24.2,35.213,322,0,131.64,17772000000
Q9Y617,Phosphoserine aminotransferase,PSAT1,9,26.5,40.422,370,0,17.456,158720000
Q9Y624,Junctional adhesion molecule A,F11R,3,8.7,32.583,299,0,2.9067,48722000
Q9Y646,Carboxypeptidase Q,CPQ,13,33.1,51.887,472,0,298.13,1998900000
Q9Y696,Chloride intracellular channel protein 4,CLIC4,8,38.3,28.772,253,0,63.919,499600000
Q9Y6C2,EMILIN-1,EMILIN1,3,3,106.67,1016,0,6.5503,29026000
Q9Y6N7,Roundabout homolog 1,ROBO1,20,17.1,169.66,1551,0,118.67,1644700000
Q9Y6R7,IgGFc-binding protein,FCGBP,99,36.6,572.01,5405,0,323.31,52462000000
Q9Y6Z7,Collectin-10,COLEC10,6,21.7,30.705,277,0,26.731,904210000
R4GMU1,GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase,H6PD,40,54.4,90.172,802,0,323.31,15757000000
S4R3V8,Lipolysis-stimulated lipoprotein receptor,LSR,10,25.4,55.253,500,0,50.337,602240000
V9GYM3,Apolipoprotein A-II;Proapolipoprotein A-II;Truncated apolipoprotein A-II,APOA2,6,46.6,14.914,133,0,161.89,6122200000
X6R3S7,Trefoil factor 3,TFF3,2,19.2,14.252,130,0,3.2516,167810000
X6R5C5,Carboxypeptidase;Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain,CTSA,9,25.4,54.255,481,0,44.844,605880000
X6R8F3,Neutrophil gelatinase-associated lipocalin,LCN2,10,56.5,22.788,200,0,102.25,3698500000
X6RBG4,"Uromodulin;Uromodulin, secreted form",UMOD,16,28.3,75.662,689,0,299.56,4092400000
